Sample,Time_us,Raw_u16,Voltage_V
561,561012,38905,1.959052
562,562010,16676,0.839716
563,563013,53805,2.709338
564,564015,16051,0.808244
565,565009,39945,2.011421
566,566011,39097,1.968720
567,567012,16660,0.838910
568,568013,53789,2.708533
569,569014,16067,0.809050
570,570009,39945,2.011421
571,571010,39097,1.968720
572,572012,16740,0.842939
573,573014,53837,2.710950
574,574008,16243,0.817913
575,575011,40009,2.014644
576,576011,39065,1.967109
577,577011,16724,0.842133
578,578013,53885,2.713367
579,579014,16099,0.810661
580,580015,40169,2.022701
581,581009,39225,1.975166
582,582010,16724,0.842133
583,583012,53965,2.717395
584,584013,16243,0.817913
585,585015,40249,2.026729
586,586011,39241,1.975972
587,587013,16724,0.842133
588,588015,53805,2.709338
589,589008,16259,0.818718
590,590009,39945,2.011421
591,591011,39049,1.966304
592,592013,16772,0.844550
593,593015,53901,2.714173
594,594011,16307,0.821135
595,595011,40089,2.018672
596,596012,38985,1.963081
597,597014,16836,0.847773
598,598015,53885,2.713367
599,599009,16243,0.817913
600,600010,39961,2.012227
601,601011,39113,1.969526
602,602014,16804,0.846162
603,603016,53773,2.707727
604,604009,16147,0.813078
605,605011,40025,2.015450
606,606013,39049,1.966304
607,607014,16772,0.844550
608,608015,53805,2.709338
609,609015,16035,0.807439
610,610010,39929,2.010616
611,611013,39001,1.963886
612,612015,16820,0.846967
613,613008,53869,2.712561
614,614010,16211,0.816301
615,615012,39961,2.012227
616,616014,39033,1.965498
617,617010,16756,0.843745
618,618012,53837,2.710950
619,619014,16083,0.809856
620,620008,39881,2.008198
621,621009,39177,1.972749
622,622011,16740,0.842939
623,623012,53869,2.712561
624,624014,16147,0.813078
625,625009,39993,2.013838
626,626012,39017,1.964692
627,627013,16852,0.848579
628,628015,53853,2.711756
629,629010,16227,0.817107
630,630011,40009,2.014644
631,631012,39049,1.966304
632,632013,16756,0.843745
633,633016,53853,2.711756
634,634013,16131,0.812273
635,635015,40329,2.030758
636,636009,39225,1.975166
637,637011,16804,0.846162
638,638012,53805,2.709338
639,639013,16067,0.809050
640,640015,40169,2.022701
641,641010,39225,1.975166
642,642012,16804,0.846162
643,643014,53821,2.710144
644,644016,16067,0.809050
645,645009,39881,2.008198
646,646011,39081,1.967915
647,647013,16772,0.844550
648,648014,53917,2.714978
649,649011,16259,0.818718
650,650015,40217,2.025118
651,651009,39225,1.975166
652,652010,16676,0.839716
653,653011,53901,2.714173
654,654013,16147,0.813078
655,655014,39881,2.008198
656,656015,38889,1.958247
657,657011,16836,0.847773
658,658014,53853,2.711756
659,659015,16019,0.806633
660,660009,39913,2.009810
661,661010,39129,1.970332
662,662012,16772,0.844550
663,663014,53757,2.706921
664,664015,16019,0.806633
665,665011,40073,2.017867
666,666008,39177,1.972749
667,667010,16532,0.832465
668,668012,53805,2.709338
669,669013,16195,0.815495
670,670015,40217,2.025118
671,671008,39257,1.976777
672,672010,16708,0.841327
673,673013,53789,2.708533
674,674009,16243,0.817913
675,675010,40025,2.015450
676,676012,39001,1.963886
677,677013,16756,0.843745
678,678014,53853,2.711756
679,679009,16227,0.817107
680,680010,39993,2.013838
681,681014,38969,1.962275
682,682010,16724,0.842133
683,683013,53805,2.709338
684,684015,16067,0.809050
685,685009,39961,2.012227
686,686011,39161,1.971943
687,687012,16756,0.843745
688,688013,53837,2.710950
689,689010,16307,0.821135
690,690012,40025,2.015450
691,691013,39065,1.967109
692,692014,16772,0.844550
693,693015,53837,2.710950
694,694010,16259,0.818718
695,695011,40073,2.017867
696,696013,38969,1.962275
697,697010,16676,0.839716
