Sample,Time_us,Raw_u16,Voltage_V
348,348011,12851,0.647109
349,349008,18740,0.943648
350,350012,30279,1.524692
351,351008,42810,2.155688
352,352012,51804,2.608578
353,353015,53533,2.695642
354,354013,47643,2.399052
355,355009,36232,1.824454
356,356013,23589,1.187819
357,357009,14707,0.740568
358,358013,12851,0.647109
359,359010,18740,0.943648
360,360014,30311,1.526303
361,361011,42810,2.155688
362,362008,51724,2.604550
363,363012,53581,2.698059
364,364008,47691,2.401470
365,365012,36152,1.820426
366,366009,23653,1.191041
367,367013,14627,0.736539
368,368009,12835,0.646303
369,369013,18788,0.946065
370,370011,30199,1.520664
371,371015,43018,2.166162
372,372011,51724,2.604550
373,373015,53517,2.694836
374,374011,47563,2.395024
375,375008,36232,1.824454
376,376012,23573,1.187013
377,377008,14707,0.740568
378,378014,12835,0.646303
379,379010,18788,0.946065
380,380014,30311,1.526303
381,381010,42826,2.156494
382,382014,51788,2.607773
383,383011,53501,2.694030
384,384015,47675,2.400664
385,385011,36200,1.822843
386,386010,23557,1.186207
387,387015,14595,0.734928
388,388011,12851,0.647109
389,389015,18756,0.944454
390,390011,30231,1.522275
391,391008,42794,2.154882
392,392012,51788,2.607773
393,393008,53581,2.698059
394,394013,47627,2.398247
395,395010,36232,1.824454
396,396014,23493,1.182985
397,397010,14675,0.738956
398,398014,12819,0.645498
399,399011,18740,0.943648
400,400015,30231,1.522275
401,401013,42890,2.159716
402,402012,51740,2.605356
403,403011,53565,2.697253
404,404015,47611,2.397441
405,405011,36200,1.822843
406,406015,23397,1.178150
407,407011,14739,0.742179
408,408008,12867,0.647915
409,409013,18804,0.946871
410,410010,30167,1.519052
411,411014,42890,2.159716
412,412010,51756,2.606162
413,413014,53549,2.696448
414,414011,47563,2.395024
415,415015,36248,1.825260
416,416011,23621,1.189430
417,417009,14659,0.738151
418,418008,12819,0.645498
419,419012,18788,0.946065
420,420008,30215,1.521469
421,421012,42842,2.157299
422,422008,51724,2.604550
423,423012,53549,2.696448
424,424009,47659,2.399858
425,425015,36056,1.815592
426,426013,23557,1.186207
427,427010,14659,0.738151
428,428014,12851,0.647109
429,429010,18756,0.944454
430,430014,30263,1.523886
431,431010,42794,2.154882
432,432014,51868,2.611801
433,433014,53597,2.698865
434,434012,47675,2.400664
435,435009,36232,1.824454
436,436012,23509,1.183790
437,437009,14707,0.740568
438,438013,12803,0.644692
439,439009,18756,0.944454
440,440013,30295,1.525498
441,441011,42682,2.149242
442,442008,51692,2.602939
443,443012,53549,2.696448
444,444008,47707,2.402275
445,445012,36168,1.821231
446,446009,23573,1.187013
447,447013,14675,0.738956
448,448009,12915,0.650332
449,449015,18788,0.946065
450,450012,30183,1.519858
451,451009,42922,2.161327
452,452013,51788,2.607773
453,453009,53645,2.701282
454,454013,47611,2.397441
455,455010,36184,1.822037
456,456014,23557,1.186207
457,457013,14627,0.736539
458,458010,12835,0.646303
459,459014,18804,0.946871
460,460011,30167,1.519052
461,461015,42810,2.155688
462,462011,51788,2.607773
463,463015,53533,2.695642
464,464011,47595,2.396635
465,465012,36184,1.822037
466,466009,23605,1.188624
467,467013,14691,0.739762
468,468010,12835,0.646303
469,469014,18724,0.942843
470,470010,30199,1.520664
471,471014,42794,2.154882
472,472010,51756,2.606162
473,473010,53549,2.696448
474,474008,47691,2.401470
475,475012,36152,1.820426
476,476009,23621,1.189430
477,477013,14659,0.738151
478,478009,12787,0.643886
479,479013,18788,0.946065
480,480009,30199,1.520664
481,481009,42826,2.156494
482,482008,51724,2.604550
483,483013,53613,2.699670
484,484009,47563,2.395024
485,485013,36184,1.822037
486,486010,23573,1.187013
487,487014,14579,0.734122
488,488010,12835,0.646303
489,489011,18820,0.947677
490,490008,30215,1.521469
491,491012,42842,2.157299
492,492008,51708,2.603744
493,493012,53581,2.698059
494,494009,47611,2.397441
495,495013,36248,1.825260
496,496009,23573,1.187013
497,497009,14691,0.739762
498,498014,12819,0.645498
499,499010,18692,0.941231
500,500014,30247,1.523081
501,501011,42858,2.158105
502,502015,51772,2.606967
503,503011,53565,2.697253
504,504015,47707,2.402275
505,505015,35960,1.810758
506,506012,23525,1.184596
507,507009,14691,0.739762
508,508013,12819,0.645498
509,509009,18772,0.945260
510,510013,30247,1.523081
511,511010,42810,2.155688
512,512014,51756,2.606162
513,513014,53549,2.696448
514,514012,47643,2.399052
515,515010,36264,1.826065
516,516014,23461,1.181373
517,517010,14659,0.738151
518,518014,12819,0.645498
519,519011,18772,0.945260
520,520015,30247,1.523081
521,521008,42810,2.155688
522,522013,51740,2.605356
523,523010,53581,2.698059
524,524014,47627,2.398247
525,525010,36152,1.820426
526,526014,23509,1.183790
527,527011,14675,0.738956
528,528015,12851,0.647109
529,529008,18836,0.948482
530,530014,30183,1.519858
531,531010,42858,2.158105
532,532014,51724,2.604550
533,533011,53485,2.693225
534,534015,47595,2.396635
535,535011,36184,1.822037
536,536015,23541,1.185402
537,537009,14659,0.738151
538,538008,12787,0.643886
539,539012,18772,0.945260
540,540009,30183,1.519858
541,541013,42874,2.158910
542,542009,51708,2.603744
543,543013,53581,2.698059
544,544009,47755,2.404692
545,545012,36168,1.821231
546,546008,23605,1.188624
547,547012,14691,0.739762
548,548009,12819,0.645498
549,549013,18708,0.942037
550,550009,30183,1.519858
551,551013,42890,2.159716
552,552009,51724,2.604550
553,553012,53565,2.697253
554,554010,47755,2.404692
555,555014,36136,1.819620
556,556010,23621,1.189430
557,557014,14675,0.738956
558,558010,12835,0.646303
559,559014,18820,0.947677
560,560011,30279,1.524692
561,561014,42906,2.160522
562,562013,51724,2.604550
563,563009,53581,2.698059
564,564013,47611,2.397441
565,565010,36200,1.822843
566,566014,23557,1.186207
567,567010,14659,0.738151
568,568014,12851,0.647109
569,569010,18708,0.942037
570,570009,30167,1.519052
571,571013,42874,2.158910
572,572009,51788,2.607773
573,573013,53597,2.698865
574,574010,47643,2.399052
575,575014,36200,1.822843
576,576010,23573,1.187013
577,577014,14643,0.737345
578,578014,12819,0.645498
579,579011,18740,0.943648
580,580015,30247,1.523081
581,581011,42826,2.156494
582,582015,51804,2.608578
583,583011,53533,2.695642
584,584008,47675,2.400664
585,585011,36168,1.821231
586,586009,23573,1.187013
587,587013,14675,0.738956
588,588009,12819,0.645498
589,589013,18788,0.946065
